product_name,review_count,review_rating,skin_type,review_text,url
광채탄력 부스터샷세럼 45 ml,58,5,건성,매장구매 스피큘로 콕콕 찌르는 느낌이 자극감으로 느껴질 수 있어요. 점성이 높아 실처럼 늘어지는 제형이에요. 끈적임 흡수에 시간이 걸리고 꿀처럼 늘어나 끈적하지만 속수분을 잡아줘 보습감 지속력은 깁니다. 속건조가 고민이라면 추천이에요.,https://www.daisomall.co.kr/pd/pdr/SCR_PDR_0001?pdNo=1072806&recmYn=N
디판테놀 동결건조 더블샷 앰플 키트,603,5,,"동결건조 앰플 처음 써보는데 촉촉하고 흡수도 빠르고 좋아요! 바로 뜯어서 앰플 제조하는 형태라 신선한 느낌도 들고, 팁이 고무라서 앰플이 샐 걱정도 없고, 입구만 누르면 쉽게 사용할 수 있어서 좋습니다! 다이소에서 기초 제품 처음 구매하는 건데 생각보다 퀄이 좋아서 놀랬어요👍👍 앞으로도 자주 이용할 것 같습니다!",https://www.daisomall.co.kr/pd/pdr/SCR_PDR_0001?pdNo=1072416&recmYn=N
디판테놀 동결건조 더블샷 앰플 키트,603,5,,"본셉 디판테놀 동결건조 더블샷 앰플 키트 사용해봤어요. 피부가 요즘 계속 예민해서 뭐만 바르면 따갑거나 바로 트러블 올라오는 상태였는데, 진정용으로 괜찮다는 얘기 보고 써봤습니다. 일단 동결건조 캡슐이랑 앰플을 직접 섞어서 쓰는 방식이라 처음엔 조금 귀찮을 줄 알았는데, 생각보다 간단하고 오히려 신선한 느낌이었어요. 막 만들어서 바로 쓰는 느낌이라 그런지 괜히 더 믿음 가는 느낌도 들고요. 제형은 묽은 편인데 흡수가 빨라서 끈적임 없이 피부에 싹 스며드는 타입이에요. 바르고 나서 번들거림 없고, 답답하지 않아서 아침에도 부담 없이 사용하기 좋았어요. 무엇보다 좋았던 건 따갑거나 자극적인 느낌이 전혀 없었다는 점이에요. 피부가 예민한 날에도 편안하게 사용할 수 있었어요.",https://www.daisomall.co.kr/pd/pdr/SCR_PDR_0001?pdNo=1072416&recmYn=N
디판테놀 동결건조 더블샷 앰플 키트,603,4,,"비타민,레티놀,디판테놀까지 다 써보게 되네요. 제피부에는 다 잘맞는거 같아요. 자주 주문해서 쟁여야 겠네요. 저렴하고 흡수도 잘되고 얼굴이 환해지고 촉촉해진 느낌입니다~추천요!!!",https://www.daisomall.co.kr/pd/pdr/SCR_PDR_0001?pdNo=1072416&recmYn=N
디판테놀 동결건조 더블샷 앰플 키트,603,4,건성,민감성 피부를 가진 판테놀 입문자라 성분 아주 미미한걸 알지만 도전했어요 단독으론 사용 안하고 크림에 섞어 4일 써보니 아직은 잘 모르겠어요ㅎㅎ 더 써보고 품평 남길게요,https://www.daisomall.co.kr/pd/pdr/SCR_PDR_0001?pdNo=1072416&recmYn=N
디판테놀 동결건조 더블샷 앰플 키트,603,5,건성,유명템이라고 해서 구매했는데 비타민이 생각보다 적게 들어있다고해서 재구매할지는 미지수입니당,https://www.daisomall.co.kr/pd/pdr/SCR_PDR_0001?pdNo=1072416&recmYn=N
디판테놀 동결건조 더블샷 앰플 키트,603,5,,동결건조 앰플 유명하다는건 알고 있었는데 드디어 사용해봤어요! 5천원에 이 퀄리티라니 자주 구매할 것 같아요 ㅎㅎ 촉촉한데 산뜻한 마무리라 부담없이 사용하기 좋고 은근 양도 많아서 하나 사도 꽤 오래써요!,https://www.daisomall.co.kr/pd/pdr/SCR_PDR_0001?pdNo=1072416&recmYn=N
디판테놀 동결건조 더블샷 앰플 키트,603,5,건성,피부가 너무 건조해져서 새롭게 구매해보았어요! 전에는 비타C로 구매했는데 디판테놀은 피부결 개선에 도움이 있다고해서 골라보았습니다. 사용즉시 장벽부터 피부결까지 개선된다고해서 기대가 됩니다!!! 집에 쟁여둔 리들샷이랑 같이 사용하면 도움이 많이 될 것 같아요! 재구매 할 경우 또 리뷰 올리겠습니다~,https://www.daisomall.co.kr/pd/pdr/SCR_PDR_0001?pdNo=1072416&recmYn=N
디판테놀 동결건조 더블샷 앰플 키트,603,5,건성,초보자분/ 연약한 피부 소유자분 들이 사용하기 좋습니다. . 몇 번 사용하지 않아 모공 변화가 있는 것은 아니지만 처음 사용해보시면 피부 정돈 된 느낌을 받을 수 있음.,https://www.daisomall.co.kr/pd/pdr/SCR_PDR_0001?pdNo=1072416&recmYn=N
디판테놀 동결건조 더블샷 앰플 키트,603,4,중성,기대이상으로 제 피부에 잘 맞아서 꾸준히 써질 것 갇ㅈ아요,https://www.daisomall.co.kr/pd/pdr/SCR_PDR_0001?pdNo=1072416&recmYn=N
디판테놀 동결건조 더블샷 앰플 키트,603,5,,"비타민앰플을. 사용,하고 난방기틀면건조하고얼굴이열이나요 사욤감은좋네요 소문대로 좋네요 도전해볼만하네요. 멀리가지얗고 필요할때 택배 더좋아요 어느정도쟁여두고사용템은 태배로받아도 편리하네요",https://www.daisomall.co.kr/pd/pdr/SCR_PDR_0001?pdNo=1072416&recmYn=N
레티놀 동결건조 더블샷 앰플 키트,813,5,,"신제품 나왔다고 해서 기대하고, 알람받고 주문해보았답니다. 역쉬 ~~~!! 믿고 쓰는 본셉 입니다. 흡수력도 좋고, 촉촉하면서 끈적임도 없는 앰플입니다. 레티놀 세럼도 쓰고 있는데, 같이 쓰니 피부가 쫀쫀해지는 느낌도 있어요. 7일 사용 하는것 치고는 양도 많아요. 저는 2주 사용 할 수 있을 듯합니다. ㅎㅎㅎ 다음부터는 4개씩 구매하려고요.",https://www.daisomall.co.kr/pd/pdr/SCR_PDR_0001?pdNo=1072417&recmYn=N
